Date,district,cumm_rainfall,temp_min,temp_max,humidity_min,humidity_max,wind_speed_min,wind_speed_max
2019-09-11,Warangal Rural,0.8,27.5,35.8,81.15,100.0,1.2,24.9
2019-09-12,Warangal Rural,9.2,25.8,35.4,80.4,100.0,0.0,20.7
2019-09-13,Warangal Rural,1.6,25.35,30.6,96.1,100.0,0.0,25.2
2019-09-14,Warangal Rural,9.1,25.85,34.0,93.0,100.0,0.0,18.4
2019-09-15,Warangal Rural,32.7,24.9,35.8,71.1,100.0,0.0,15.7
2019-09-16,Warangal Rural,22.0,26.5,35.1,92.0,100.0,0.0,14.5
2019-09-17,Warangal Rural,31.0,27.5,33.2,97.8,100.0,0.0,21.5
2019-09-18,Warangal Rural,33.0,24.9,35.2,95.8,100.0,0.0,23.3
2019-09-19,Warangal Rural,27.0,25.0,35.6,95.8,100.0,0.0,21.2
2019-09-20,Warangal Rural,15.1,25.4,35.2,89.9,100.0,0.0,16.9
2019-09-21,Warangal Rural,32.7,25.5,35.3,97.1,100.0,0.0,14.6
2019-09-22,Warangal Rural,19.1,25.4,35.2,88.7,100.0,2.2,21.0
2019-09-23,Warangal Rural,21.7,25.0,35.4,87.4,100.0,0.0,12.2
2019-09-24,Warangal Rural,57.5,25.1,35.9,84.1,100.0,0.0,28.7
2019-09-25,Warangal Rural,83.9,24.95,35.2,88.4,100.0,0.0,17.7
2019-09-26,Warangal Rural,19.3,25.1,33.2,95.8,100.0,4.3,26.2
2019-09-27,Warangal Rural,25.8,24.9,30.7,91.5,100.0,3.1,24.4
2019-09-28,Warangal Rural,0.4,24.9,33.45,93.5,100.0,0.0,19.8
2019-09-29,Warangal Rural,1.2,25.2,35.2,86.4,100.0,0.2,21.7
2019-09-30,Warangal Rural,70.1,24.7,35.8,95.6,100.0,0.0,24.9
2019-10-01,Warangal Rural,40.5,24.9,33.1,88.05,100.0,0.0,21.6
2019-10-02,Warangal Rural,36.0,24.7,35.9,76.0,100.0,1.9,29.2
2019-10-03,Warangal Rural,5.8,24.9,35.7,81.0,100.0,0.0,12.7
2019-10-04,Warangal Rural,22.2,24.9,35.8,72.8,100.0,0.2,15.7
2019-10-05,Warangal Rural,0.0,24.9,35.5,71.7,100.0,0.0,16.7
2019-10-06,Warangal Rural,0.0,24.9,35.6,78.0,100.0,3.0,10.2
2019-10-07,Warangal Rural,57.5,24.9,35.7,72.0,100.0,0.0,18.4
2019-10-08,Warangal Rural,2.5,25.3,35.2,74.8,100.0,0.4,15.6
2019-10-09,Warangal Rural,4.5,24.9,35.1,85.1,100.0,0.0,17.1
2019-10-10,Warangal Rural,30.1,24.9,35.2,77.2,100.0,0.0,23.3
2019-10-11,Warangal Rural,36.5,24.9,34.2,83.3,100.0,0.0,17.4
2019-10-12,Warangal Rural,79.7,24.9,35.3,76.4,100.0,1.2,21.3
2019-10-13,Warangal Rural,0.0,24.9,35.3,73.2,100.0,0.0,13.3
2019-10-14,Warangal Rural,0.0,25.0,35.9,83.4,100.0,0.0,12.7
2019-10-15,Warangal Rural,0.4,24.9,35.7,81.2,100.0,0.0,15.3
2019-10-16,Warangal Rural,31.1,24.9,34.7,85.4,100.0,0.0,10.1
2019-10-17,Warangal Rural,26.3,24.0,32.7,89.7,100.0,2.5,21.2
2019-10-18,Warangal Rural,18.1,24.9,35.3,79.3,100.0,2.5,21.2
2019-10-19,Warangal Rural,126.9,22.6,35.8,84.5,100.0,2.5,22.0
2019-10-20,Warangal Rural,117.2,24.9,33.1,84.3,100.0,2.5,21.2
2019-10-21,Warangal Rural,21.0,24.9,35.2,88.4,100.0,2.5,21.2
2019-10-22,Warangal Rural,8.7,24.9,35.2,78.5,100.0,0.0,13.7
2019-10-23,Warangal Rural,49.5,24.9,33.0,88.9,100.0,0.0,14.3
2019-10-24,Warangal Rural,15.6,24.9,33.2,87.2,100.0,0.0,26.5
2019-10-25,Warangal Rural,43.6,24.9,33.3,87.2,100.0,0.0,14.8
2019-10-26,Warangal Rural,5.6,24.9,35.7,73.8,100.0,0.0,14.5
2019-10-27,Warangal Rural,0.0,24.9,35.5,73.1,100.0,0.0,21.1
2019-10-28,Warangal Rural,0.2,24.9,35.6,75.7,100.0,0.0,15.0
2019-10-29,Warangal Rural,88.6,24.4,35.8,74.7,100.0,0.0,16.2
2019-10-30,Warangal Rural,21.1,24.9,34.9,82.0,100.0,0.0,15.3
2019-10-31,Warangal Rural,20.2,24.9,33.1,86.3,100.0,0.0,18.1
2019-11-01,Warangal Rural,9.9,24.9,33.2,87.5,100.0,0.0,20.9
2019-11-02,Warangal Rural,5.9,24.9,35.8,70.6,100.0,0.0,18.7
2019-11-03,Warangal Rural,31.5,24.9,35.8,76.0,100.0,0.0,20.7
2019-11-04,Warangal Rural,6.8,24.9,34.9,77.7,100.0,0.0,13.2
2019-11-05,Warangal Rural,0.6,23.0,35.3,70.9,100.0,0.2,16.7
2019-11-06,Warangal Rural,0.0,24.2,35.5,77.0,100.0,0.0,16.4
2019-11-07,Warangal Rural,0.0,22.4,34.8,70.9,100.0,0.0,18.2
2019-11-08,Warangal Rural,0.2,22.4,35.3,65.3,100.0,0.0,14.7
2019-11-09,Warangal Rural,0.0,22.4,34.7,70.6,100.0,0.1,18.1
2019-11-10,Warangal Rural,0.0,21.8,33.3,62.6,100.0,0.0,19.5
2019-11-11,Warangal Rural,0.0,22.4,33.3,60.5,100.0,0.2,21.5
2019-11-12,Warangal Rural,0.0,22.4,35.2,63.1,100.0,0.2,13.8
2019-11-13,Warangal Rural,0.0,21.8,33.2,62.6,100.0,0.0,16.8
2019-11-14,Warangal Rural,0.0,21.8,33.2,65.2,100.0,0.0,10.5
2019-11-15,Warangal Rural,0.0,22.4,33.2,65.9,100.0,0.0,8.6
2019-11-16,Warangal Rural,0.0,21.9,35.0,61.6,100.0,0.0,10.4
2019-11-17,Warangal Rural,0.0,22.4,35.4,57.9,100.0,1.9,14.5
2019-11-18,Warangal Rural,0.0,22.1,32.9,64.0,100.0,1.3,13.0
2019-11-19,Warangal Rural,0.0,22.4,34.8,62.0,100.0,0.0,12.5
2019-11-20,Warangal Rural,0.0,22.4,35.5,63.1,100.0,0.1,11.4
2019-11-21,Warangal Rural,0.0,22.2,35.4,62.9,100.0,0.0,9.8
2019-11-22,Warangal Rural,0.0,21.5,33.1,62.9,100.0,0.0,9.6
2019-11-23,Warangal Rural,0.0,21.8,35.6,62.7,100.0,0.0,13.6
2019-11-24,Warangal Rural,0.0,20.6,33.3,62.6,100.0,0.4,9.0
2019-11-25,Warangal Rural,0.0,21.8,32.6,59.0,100.0,0.0,15.2
2019-11-26,Warangal Rural,0.0,20.8,33.3,62.7,100.0,0.0,18.9
2019-11-27,Warangal Rural,0.0,20.2,33.3,63.3,100.0,0.1,15.2
2019-11-28,Warangal Rural,0.0,21.6,33.3,61.6,100.0,0.0,8.2
2019-11-29,Warangal Rural,0.0,21.8,33.1,63.9,100.0,0.0,11.2
2019-11-30,Warangal Rural,0.0,21.8,35.3,63.1,100.0,0.0,11.7
2019-12-01,Warangal Rural,0.0,22.9,33.4,63.1,100.0,0.0,13.5
2019-12-02,Warangal Rural,0.0,24.9,33.3,70.9,100.0,0.0,10.7
2019-12-03,Warangal Rural,36.8,22.4,30.1,88.5,100.0,0.5,21.0
2019-12-04,Warangal Rural,0.0,22.1,32.7,91.2,100.0,0.3,5.9
2019-12-05,Warangal Rural,0.0,20.6,32.3,62.6,100.0,0.0,15.2
2019-12-06,Warangal Rural,0.0,20.5,32.5,62.3,100.0,0.0,11.3
